entry,hostname,delta,error,lastcall
2,xen-vm2,0.500024964,0.000024964,0.099997646
3,xen-vm3,0.500023528,0.000023528,0.100002900
4,xen-vm4,0.500105120,0.000105120,0.104593324
1,xen-vm1,0.499983593,0.000016407,0.195389723
2,xen-vm2,0.499985161,0.000014839,0.099999214
3,xen-vm3,0.499989298,0.000010702,0.100007037
4,xen-vm4,0.500107262,0.000107262,0.104711288
1,xen-vm1,0.500017900,0.000017900,0.195300361
2,xen-vm2,0.500013489,0.000013489,0.099994803
3,xen-vm3,0.500013256,0.000013256,0.100006804
4,xen-vm4,0.500102885,0.000102885,0.104800917
1,xen-vm1,0.499998599,0.000001401,0.195196075
2,xen-vm2,0.499998569,0.000001431,0.099994773
3,xen-vm3,0.499997619,0.000002381,0.100005854
4,xen-vm4,0.500103212,0.000103212,0.104906510
1,xen-vm1,0.500015721,0.000015721,0.195108584
2,xen-vm2,0.500018854,0.000018854,0.099997906
3,xen-vm3,0.500012380,0.000012380,0.099999380
4,xen-vm4,0.500102944,0.000102944,0.104997074
1,xen-vm1,0.499990234,0.000009766,0.194995874
2,xen-vm2,0.499991308,0.000008692,0.099998980
3,xen-vm3,0.499995419,0.000004581,0.100003491
4,xen-vm4,0.500095944,0.000095944,0.105097599
1,xen-vm1,0.500045102,0.000045102,0.194945032
2,xen-vm2,0.500042282,0.000042282,0.099996160
3,xen-vm3,0.500045245,0.000045245,0.100006454
4,xen-vm4,0.500105296,0.000105296,0.105157650
1,xen-vm1,0.499970162,0.000029838,0.194809898
2,xen-vm2,0.499971841,0.000028159,0.099997839
3,xen-vm3,0.499968757,0.000031243,0.100003370
4,xen-vm4,0.500098071,0.000098071,0.105286964
1,xen-vm1,0.500020287,0.000020287,0.194732114
2,xen-vm2,0.500021880,0.000021880,0.099999432
3,xen-vm3,0.500039977,0.000039977,0.100021467
4,xen-vm4,0.500100834,0.000100834,0.105347821
1,xen-vm1,0.499990623,0.000009377,0.194621903
2,xen-vm2,0.500009768,0.000009768,0.100018577
3,xen-vm3,0.499997967,0.000002033,0.100009666
4,xen-vm4,0.500097037,0.000097037,0.105446891
1,xen-vm1,0.500037167,0.000037167,0.194562033
2,xen-vm2,0.500026666,0.000026666,0.100008076
3,xen-vm3,0.500022808,0.000022808,0.100005808
4,xen-vm4,0.500097284,0.000097284,0.105521367
1,xen-vm1,0.499989018,0.000010982,0.194453767
2,xen-vm2,0.499997892,0.000002108,0.100016950
3,xen-vm3,0.499996930,0.000003070,0.100004846
4,xen-vm4,0.500092060,0.000092060,0.105616497
1,xen-vm1,0.500032067,0.000032067,0.194393774
2,xen-vm2,0.500029791,0.000029791,0.100014674
3,xen-vm3,0.500024653,0.000024653,0.099999708
4,xen-vm4,0.500097646,0.000097646,0.105689490
1,xen-vm1,0.500008334,0.000008334,0.194304462
2,xen-vm2,0.500007124,0.000007124,0.100013464
3,xen-vm3,0.500011231,0.000011231,0.100003815
4,xen-vm4,0.500089556,0.000089556,0.105767815
1,xen-vm1,0.500031138,0.000031138,0.194246044
2,xen-vm2,0.500030348,0.000030348,0.100012674
3,xen-vm3,0.500030834,0.000030834,0.100004301
4,xen-vm4,0.500096645,0.000096645,0.105833626
1,xen-vm1,0.500014872,0.000014872,0.194164271
2,xen-vm2,0.500019176,0.000019176,0.100016978
3,xen-vm3,0.500019053,0.000019053,0.100004178
4,xen-vm4,0.500095811,0.000095811,0.105910384
1,xen-vm1,0.500038217,0.000038217,0.194106677
2,xen-vm2,0.500036387,0.000036387,0.100015148
3,xen-vm3,0.500030554,0.000030554,0.099998345
4,xen-vm4,0.500090690,0.000090690,0.105970520
1,xen-vm1,0.500002765,0.000002765,0.194018752
2,xen-vm2,0.500001589,0.000001589,0.100013972
3,xen-vm3,0.500009121,0.000009121,0.100005877
4,xen-vm4,0.500091385,0.000091385,0.106052784
1,xen-vm1,0.500031000,0.000031000,0.193958367
2,xen-vm2,0.500051249,0.000051249,0.100034221
3,xen-vm3,0.500036492,0.000036492,0.099991120
4,xen-vm4,0.500099194,0.000099194,0.106115486
1,xen-vm1,0.500015955,0.000015955,0.193875128
2,xen-vm2,0.499990188,0.000009812,0.100008454
3,xen-vm3,0.500003231,0.000003231,0.100004163
4,xen-vm4,0.500080623,0.000080623,0.106192878
1,xen-vm1,0.500026153,0.000026153,0.193820658
2,xen-vm2,0.500030311,0.000030311,0.100012612
3,xen-vm3,0.500029428,0.000029428,0.100003280
4,xen-vm4,0.500089371,0.000089371,0.106252821
1,xen-vm1,0.500003602,0.000003602,0.193734889
2,xen-vm2,0.500010305,0.000010305,0.100019315
3,xen-vm3,0.500011386,0.000011386,0.100004361
4,xen-vm4,0.500089391,0.000089391,0.106330826
1,xen-vm1,0.500036822,0.000036822,0.193682320
2,xen-vm2,0.500029581,0.000029581,0.100012074
3,xen-vm3,0.500033281,0.000033281,0.100008061
4,xen-vm4,0.500089490,0.000089490,0.106387035
1,xen-vm1,0.499985505,0.000014495,0.193578335
2,xen-vm2,0.499996309,0.000003691,0.100022878
3,xen-vm3,0.499994928,0.000005072,0.100006680
4,xen-vm4,0.500084908,0.000084908,0.106477015
1,xen-vm1,0.500051675,0.000051675,0.193545102
2,xen-vm2,0.500040987,0.000040987,0.100012190
3,xen-vm3,0.500035520,0.000035520,0.100001213
4,xen-vm4,0.500088686,0.000088686,0.106530181
1,xen-vm1,0.499999610,0.000000390,0.193456026
2,xen-vm2,0.500000855,0.000000855,0.100013435
3,xen-vm3,0.500005474,0.000005474,0.100005832
4,xen-vm4,0.500088378,0.000088378,0.106613085
1,xen-vm1,0.500065024,0.000065024,0.193432672
2,xen-vm2,0.500059070,0.000059070,0.100007481
3,xen-vm3,0.500059170,0.000059170,0.100005932
4,xen-vm4,0.500088800,0.000088800,0.106642715
1,xen-vm1,0.499974772,0.000025228,0.193318644
2,xen-vm2,0.499987187,0.000012813,0.100019896
3,xen-vm3,0.499985319,0.000014681,0.100004064
4,xen-vm4,0.500083265,0.000083265,0.106740661
1,xen-vm1,0.500036378,0.000036378,0.193271757
2,xen-vm2,0.500032659,0.000032659,0.100016177
3,xen-vm3,0.500027290,0.000027290,0.099998695
4,xen-vm4,0.500089128,0.000089128,0.106802499
1,xen-vm1,0.500015263,0.000015263,0.193197892
2,xen-vm2,0.500036533,0.000036533,0.100037447
3,xen-vm3,0.500043810,0.000043810,0.100005972
4,xen-vm4,0.500087000,0.000087000,0.106845689
1,xen-vm1,0.500030313,0.000030313,0.193141205
2,xen-vm2,0.499999791,0.000000209,0.100006925
3,xen-vm3,0.500001572,0.000001572,0.100007753
4,xen-vm4,0.500080867,0.000080867,0.106924984
1,xen-vm1,0.500003659,0.000003659,0.193063997
2,xen-vm2,0.500015235,0.000015235,0.100018501
3,xen-vm3,0.500011006,0.000011006,0.100003524
4,xen-vm4,0.500082399,0.000082399,0.106996377
1,xen-vm1,0.500066814,0.000066814,0.193048412
2,xen-vm2,0.500060151,0.000060151,0.100011838
3,xen-vm3,0.500056480,0.000056480,0.099999853
4,xen-vm4,0.500085608,0.000085608,0.107025505
1,xen-vm1,0.499978608,0.000021392,0.192941412
2,xen-vm2,0.499981477,0.000018523,0.100014707
3,xen-vm3,0.499989353,0.000010647,0.100007729
4,xen-vm4,0.500067085,0.000067085,0.107103237
1,xen-vm1,0.500034099,0.000034099,0.192908426
2,xen-vm2,0.500029126,0.000029126,0.100009734
3,xen-vm3,0.500028066,0.000028066,0.100006669
4,xen-vm4,0.500093014,0.000093014,0.107168185
1,xen-vm1,0.500004852,0.000004852,0.192820264
2,xen-vm2,0.500009380,0.000009380,0.100014262
3,xen-vm3,0.500010724,0.000010724,0.100008013
4,xen-vm4,0.500095643,0.000095643,0.107253104
1,xen-vm1,0.500035024,0.000035024,0.192759645
2,xen-vm2,0.500038357,0.000038357,0.100017595
3,xen-vm3,0.500026481,0.000026481,0.099996137
4,xen-vm4,0.500076529,0.000076529,0.107303152
1,xen-vm1,0.500013108,0.000013108,0.192696224
2,xen-vm2,0.500009871,0.000009871,0.100014358
3,xen-vm3,0.500020278,0.000020278,0.100006544
4,xen-vm4,0.500053981,0.000053981,0.107336855
1,xen-vm1,0.500032574,0.000032574,0.192674817
2,xen-vm2,0.500030712,0.000030712,0.100012496
3,xen-vm3,0.500028665,0.000028665,0.100004497
4,xen-vm4,0.500090003,0.000090003,0.107398193
1,xen-vm1,0.500006327,0.000006327,0.192591141
2,xen-vm2,0.500006385,0.000006385,0.100012554
3,xen-vm3,0.500008144,0.000008144,0.100006256
4,xen-vm4,0.500075400,0.000075400,0.107465449
1,xen-vm1,0.500039850,0.000039850,0.192555591
2,xen-vm2,0.500041140,0.000041140,0.100013844
3,xen-vm3,0.500035741,0.000035741,0.100000857
4,xen-vm4,0.500079487,0.000079487,0.107509195
1,xen-vm1,0.500002227,0.000002227,0.192478331
2,xen-vm2,0.500000774,0.000000774,0.100012391
3,xen-vm3,0.500005219,0.000005219,0.100005302
4,xen-vm4,0.500075789,0.000075789,0.107579765
1,xen-vm1,0.500032354,0.000032354,0.192434896
2,xen-vm2,0.500031497,0.000031497,0.100011534
3,xen-vm3,0.500030167,0.000030167,0.100003972
4,xen-vm4,0.500078401,0.000078401,0.107627999
1,xen-vm1,0.500010585,0.000010585,0.192367080
2,xen-vm2,0.500015001,0.000015001,0.100015950
3,xen-vm3,0.500014469,0.000014469,0.100003440
4,xen-vm4,0.500074917,0.000074917,0.107688447
1,xen-vm1,0.500037125,0.000037125,0.192329288
2,xen-vm2,0.500031810,0.000031810,0.100010635
3,xen-vm3,0.500026721,0.000026721,0.099998351
4,xen-vm4,0.500083013,0.000083013,0.107744739
1,xen-vm1,0.500002469,0.000002469,0.192248744
2,xen-vm2,0.500008261,0.000008261,0.100016427
3,xen-vm3,0.500016142,0.000016142,0.100006232
4,xen-vm4,0.500070509,0.000070509,0.107799106
