entry,hostname,delta,error,lastcall
1,xen-vm1,0.060003500,0.000003500,46.817412299
2,xen-vm2,0.059996009,0.000003991,46.847452427
3,xen-vm3,0.060010254,0.000010254,46.867441029
1,xen-vm1,0.059997591,0.000002409,46.877409890
2,xen-vm2,0.059996826,0.000003174,46.907449253
3,xen-vm3,0.059998101,0.000001899,46.927439130
1,xen-vm1,0.060002345,0.000002345,46.937412235
2,xen-vm2,0.060013892,0.000013892,46.967463145
3,xen-vm3,0.060000930,0.000000930,46.987440060
1,xen-vm1,0.060006486,0.000006486,46.997418721
2,xen-vm2,0.060002829,0.000002829,47.027465974
3,xen-vm3,0.060003167,0.000003167,47.047443227
1,xen-vm1,0.060000830,0.000000830,47.057419551
2,xen-vm2,0.060002468,0.000002468,47.087468442
3,xen-vm3,0.059997043,0.000002957,47.107440270
1,xen-vm1,0.060003993,0.000003993,47.117423544
2,xen-vm2,0.060000091,0.000000091,47.147468533
3,xen-vm3,0.060009444,0.000009444,47.167449714
1,xen-vm1,0.060001323,0.000001323,47.177424867
2,xen-vm2,0.059996623,0.000003377,47.207465156
3,xen-vm3,0.060000779,0.000000779,47.227450493
1,xen-vm1,0.060004369,0.000004369,47.237429236
2,xen-vm2,0.060010483,0.000010483,47.267475639
3,xen-vm3,0.059999904,0.000000096,47.287450397
1,xen-vm1,0.060001531,0.000001531,47.297430767
2,xen-vm2,0.060004811,0.000004811,47.327480450
3,xen-vm3,0.060006740,0.000006740,47.347457137
1,xen-vm1,0.060013202,0.000013202,47.357443969
2,xen-vm2,0.059998938,0.000001062,47.387479388
3,xen-vm3,0.059995754,0.000004246,47.407452891
1,xen-vm1,0.059990288,0.000009712,47.417434257
2,xen-vm2,0.060010015,0.000010015,47.447489403
3,xen-vm3,0.060016248,0.000016248,47.467469139
1,xen-vm1,0.060012878,0.000012878,47.477447135
2,xen-vm2,0.059986107,0.000013893,47.507475510
3,xen-vm3,0.059996729,0.000003271,47.527465868
1,xen-vm1,0.059993853,0.000006147,47.537440988
2,xen-vm2,0.060012511,0.000012511,47.567488021
3,xen-vm3,0.060009752,0.000009752,47.587475620
1,xen-vm1,0.060003939,0.000003939,47.597444927
2,xen-vm2,0.060001165,0.000001165,47.627489186
3,xen-vm3,0.059994294,0.000005706,47.647469914
1,xen-vm1,0.059999879,0.000000121,47.657444806
2,xen-vm2,0.060004048,0.000004048,47.687493234
3,xen-vm3,0.059994158,0.000005842,47.707464072
1,xen-vm1,0.060004047,0.000004047,47.717448853
2,xen-vm2,0.060000889,0.000000889,47.747494123
3,xen-vm3,0.060008204,0.000008204,47.767472276
1,xen-vm1,0.060000119,0.000000119,47.777448972
2,xen-vm2,0.059999293,0.000000707,47.807493416
3,xen-vm3,0.060004051,0.000004051,47.827476327
1,xen-vm1,0.060005194,0.000005194,47.837454166
2,xen-vm2,0.060006903,0.000006903,47.867500319
3,xen-vm3,0.060003304,0.000003304,47.887479631
1,xen-vm1,0.060011433,0.000011433,47.897465599
2,xen-vm2,0.060007179,0.000007179,47.927507498
3,xen-vm3,0.060006149,0.000006149,47.947485780
1,xen-vm1,0.059992469,0.000007531,47.957458068
2,xen-vm2,0.059975322,0.000024678,47.987482820
3,xen-vm3,0.059992908,0.000007092,48.007478688
1,xen-vm1,0.060016874,0.000016874,48.017474942
2,xen-vm2,0.060006935,0.000006935,48.047489755
3,xen-vm3,0.060009148,0.000009148,48.067487836
1,xen-vm1,0.059988076,0.000011924,48.077463018
2,xen-vm2,0.059998503,0.000001497,48.107488258
3,xen-vm3,0.059996883,0.000003117,48.127484719
1,xen-vm1,0.060008123,0.000008123,48.137471141
2,xen-vm2,0.060024172,0.000024172,48.167512430
3,xen-vm3,0.060008043,0.000008043,48.187492762
1,xen-vm1,0.059996065,0.000003935,48.197467206
2,xen-vm2,0.060004123,0.000004123,48.227516553
3,xen-vm3,0.060005295,0.000005295,48.247498057
1,xen-vm1,0.060004173,0.000004173,48.257471379
2,xen-vm2,0.060003504,0.000003504,48.287520057
3,xen-vm3,0.059998831,0.000001169,48.307496888
1,xen-vm1,0.060009833,0.000009833,48.317481212
2,xen-vm2,0.060004697,0.000004697,48.347524754
3,xen-vm3,0.060007035,0.000007035,48.367503923
1,xen-vm1,0.059995929,0.000004071,48.377477141
2,xen-vm2,0.060001083,0.000001083,48.407525837
3,xen-vm3,0.060000981,0.000000981,48.427504904
1,xen-vm1,0.060010488,0.000010488,48.437487629
2,xen-vm2,0.060013061,0.000013061,48.467538898
3,xen-vm3,0.060008829,0.000008829,48.487513733
1,xen-vm1,0.060001472,0.000001472,48.497489101
2,xen-vm2,0.059990888,0.000009112,48.527529786
3,xen-vm3,0.059996116,0.000003884,48.547509849
1,xen-vm1,0.059996401,0.000003599,48.557485502
2,xen-vm2,0.060009869,0.000009869,48.587539655
3,xen-vm3,0.060014638,0.000014638,48.607524487
1,xen-vm1,0.060009123,0.000009123,48.617494625
2,xen-vm2,0.059995290,0.000004710,48.647534945
3,xen-vm3,0.059988825,0.000011175,48.667513312
1,xen-vm1,0.060002683,0.000002683,48.677497308
2,xen-vm2,0.060012179,0.000012179,48.707547124
3,xen-vm3,0.060013510,0.000013510,48.727526822
1,xen-vm1,0.060018378,0.000018378,48.737515686
2,xen-vm2,0.060012680,0.000012680,48.767559804
3,xen-vm3,0.060010515,0.000010515,48.787537337
1,xen-vm1,0.060007576,0.000007576,48.797523262
2,xen-vm2,0.060013326,0.000013326,48.827573130
3,xen-vm3,0.060016109,0.000016109,48.847553446
1,xen-vm1,0.060023857,0.000023857,48.857547119
2,xen-vm2,0.060011050,0.000011050,48.887584180
3,xen-vm3,0.060012362,0.000012362,48.907565808
1,xen-vm1,0.060008479,0.000008479,48.917555598
2,xen-vm2,0.060028445,0.000028445,48.947612625
3,xen-vm3,0.060012382,0.000012382,48.967578190
1,xen-vm1,0.060008349,0.000008349,48.977563947
2,xen-vm2,0.060010282,0.000010282,49.007622907
3,xen-vm3,0.060010175,0.000010175,49.027588365
1,xen-vm1,0.060008965,0.000008965,49.037572912
2,xen-vm2,0.060010511,0.000010511,49.067633418
3,xen-vm3,0.060010843,0.000010843,49.087599208
1,xen-vm1,0.060025471,0.000025471,49.097598383
2,xen-vm2,0.060014468,0.000014468,49.127647886
3,xen-vm3,0.060028457,0.000028457,49.147627665
1,xen-vm1,0.060000921,0.000000921,49.157599304
