entry,hostname,delta,error,lastcall
1,xen-vm1,0.049922570,0.000077430,0.019970115
2,xen-vm2,0.049897825,0.000102175,0.029899134
3,xen-vm3,0.049906956,0.000093044,0.039910837
4,xen-vm4,0.049925033,0.000074967,0.049925033
1,xen-vm1,0.049999320,0.000000680,0.069969435
2,xen-vm2,0.050009454,0.000009454,0.079908588
3,xen-vm3,0.050003658,0.000003658,0.089914495
4,xen-vm4,0.049984148,0.000015852,0.099909181
1,xen-vm1,0.050001598,0.000001598,0.119971033
2,xen-vm2,0.049995582,0.000004418,0.129904170
3,xen-vm3,0.049999112,0.000000888,0.139913607
4,xen-vm4,0.049986457,0.000013543,0.149895638
1,xen-vm1,0.050007059,0.000007059,0.169978092
2,xen-vm2,0.049989900,0.000010100,0.179894070
3,xen-vm3,0.049987503,0.000012497,0.189901110
4,xen-vm4,0.050002428,0.000002428,0.199898066
1,xen-vm1,0.050002721,0.000002721,0.219980813
2,xen-vm2,0.049995856,0.000004144,0.229889926
3,xen-vm3,0.050005197,0.000005197,0.239906307
4,xen-vm4,0.050004803,0.000004803,0.249902869
1,xen-vm1,0.050003612,0.000003612,0.269984425
2,xen-vm2,0.055183671,0.005183671,0.285073597
3,xen-vm3,0.050013450,0.000013450,0.289919757
4,xen-vm4,0.050026939,0.000026939,0.299929808
1,xen-vm1,0.050005465,0.000005465,0.319989890
2,xen-vm2,0.044855779,0.005144221,0.329929376
3,xen-vm3,0.050027283,0.000027283,0.339947040
4,xen-vm4,0.050014173,0.000014173,0.349943981
1,xen-vm1,0.049971783,0.000028217,0.369961673
2,xen-vm2,0.050016719,0.000016719,0.379946095
3,xen-vm3,0.050022855,0.000022855,0.389969895
4,xen-vm4,0.050025795,0.000025795,0.399969776
1,xen-vm1,0.050007580,0.000007580,0.419969253
2,xen-vm2,0.050020818,0.000020818,0.429966913
3,xen-vm3,0.050017902,0.000017902,0.439987797
4,xen-vm4,0.050017002,0.000017002,0.449986778
1,xen-vm1,0.050020569,0.000020569,0.469989822
2,xen-vm2,0.050022449,0.000022449,0.479989362
3,xen-vm3,0.049924089,0.000075911,0.489911886
4,xen-vm4,0.049927271,0.000072729,0.499914049
1,xen-vm1,0.050018072,0.000018072,0.520007894
2,xen-vm2,0.049917469,0.000082531,0.529906831
3,xen-vm3,0.050019553,0.000019553,0.539931439
4,xen-vm4,0.050019505,0.000019505,0.549933554
1,xen-vm1,0.050024266,0.000024266,0.570032160
2,xen-vm2,0.050025381,0.000025381,0.579932212
3,xen-vm3,0.050020662,0.000020662,0.589952101
4,xen-vm4,0.050020078,0.000020078,0.599953632
1,xen-vm1,0.050011850,0.000011850,0.620044010
2,xen-vm2,0.050009379,0.000009379,0.629941591
3,xen-vm3,0.050023272,0.000023272,0.639975373
4,xen-vm4,0.050021996,0.000021996,0.649975628
1,xen-vm1,0.050029002,0.000029002,0.670073012
2,xen-vm2,0.050022143,0.000022143,0.679963734
3,xen-vm3,0.050016440,0.000016440,0.689991813
4,xen-vm4,0.050018022,0.000018022,0.699993650
1,xen-vm1,0.049921915,0.000078085,0.719994927
2,xen-vm2,0.050045922,0.000045922,0.730009656
3,xen-vm3,0.050023369,0.000023369,0.740015182
4,xen-vm4,0.050020511,0.000020511,0.750014161
1,xen-vm1,0.050025878,0.000025878,0.770020805
2,xen-vm2,0.050027266,0.000027266,0.780036922
3,xen-vm3,0.050025474,0.000025474,0.790040656
4,xen-vm4,0.050027041,0.000027041,0.800041202
1,xen-vm1,0.050017384,0.000017384,0.820038189
2,xen-vm2,0.050018388,0.000018388,0.830055310
3,xen-vm3,0.050017425,0.000017425,0.840058081
4,xen-vm4,0.049986277,0.000013723,0.850027479
1,xen-vm1,0.050021986,0.000021986,0.870060175
2,xen-vm2,0.050015590,0.000015590,0.880070900
3,xen-vm3,0.050020126,0.000020126,0.890078207
4,xen-vm4,0.050054968,0.000054968,0.900082447
1,xen-vm1,0.050023039,0.000023039,0.920083214
2,xen-vm2,0.050026261,0.000026261,0.930097161
3,xen-vm3,0.050023033,0.000023033,0.940101240
4,xen-vm4,0.050017425,0.000017425,0.950099872
1,xen-vm1,0.050019400,0.000019400,0.970102614
2,xen-vm2,0.049998223,0.000001777,0.980095384
3,xen-vm3,0.050020924,0.000020924,0.990122164
4,xen-vm4,0.050025908,0.000025908,1.000125780
1,xen-vm1,0.050017532,0.000017532,1.020120146
2,xen-vm2,0.050049784,0.000049784,1.030145168
3,xen-vm3,0.050022575,0.000022575,1.040144739
4,xen-vm4,0.050017457,0.000017457,1.050143237
1,xen-vm1,0.050029449,0.000029449,1.070149595
2,xen-vm2,0.049995476,0.000004524,1.080140644
3,xen-vm3,0.050027203,0.000027203,1.090171942
4,xen-vm4,0.050023176,0.000023176,1.100166413
1,xen-vm1,0.050016044,0.000016044,1.120165639
2,xen-vm2,0.050039933,0.000039933,1.130180577
3,xen-vm3,0.050015485,0.000015485,1.140187427
4,xen-vm4,0.050029628,0.000029628,1.150196041
1,xen-vm1,0.050018350,0.000018350,1.170183989
2,xen-vm2,0.050004813,0.000004813,1.180185390
3,xen-vm3,0.050017837,0.000017837,1.190205264
4,xen-vm4,0.050013242,0.000013242,1.200209283
1,xen-vm1,0.050028286,0.000028286,1.220212275
2,xen-vm2,0.050008291,0.000008291,1.230193681
3,xen-vm3,0.050022990,0.000022990,1.240228254
4,xen-vm4,0.050025936,0.000025936,1.250235219
1,xen-vm1,0.050012782,0.000012782,1.270225057
2,xen-vm2,0.050027293,0.000027293,1.280220974
3,xen-vm3,0.050019759,0.000019759,1.290248013
4,xen-vm4,0.050015733,0.000015733,1.300250952
1,xen-vm1,0.050021324,0.000021324,1.320246381
2,xen-vm2,0.050014952,0.000014952,1.330235926
3,xen-vm3,0.050023183,0.000023183,1.340271196
4,xen-vm4,0.050017820,0.000017820,1.350268772
1,xen-vm1,0.050021327,0.000021327,1.370267708
2,xen-vm2,0.050017761,0.000017761,1.380253687
3,xen-vm3,0.050019510,0.000019510,1.390290706
4,xen-vm4,0.050022538,0.000022538,1.400291310
1,xen-vm1,0.050022238,0.000022238,1.420289946
2,xen-vm2,0.050025585,0.000025585,1.430279272
3,xen-vm3,0.050022139,0.000022139,1.440312845
4,xen-vm4,0.050018952,0.000018952,1.450310262
1,xen-vm1,0.050019739,0.000019739,1.470309685
2,xen-vm2,0.050019226,0.000019226,1.480298498
3,xen-vm3,0.050018150,0.000018150,1.490330995
4,xen-vm4,0.049998357,0.000001643,1.500308619
1,xen-vm1,0.050026844,0.000026844,1.520336529
2,xen-vm2,0.050026455,0.000026455,1.530324953
3,xen-vm3,0.050022807,0.000022807,1.540353802
4,xen-vm4,0.050046664,0.000046664,1.550355283
1,xen-vm1,0.050017944,0.000017944,1.570354473
2,xen-vm2,0.050012844,0.000012844,1.580337797
