entry,hostname,delta,error,lastcall
3,xen-vm3,0.050096392,0.000096392,0.009998331
4,xen-vm4,0.050017750,0.000017750,0.009982489
1,xen-vm1,0.050044889,0.000044889,0.020075560
2,xen-vm2,0.050017665,0.000017665,0.009961285
3,xen-vm3,0.049914603,0.000085397,0.009895269
4,xen-vm4,0.049951624,0.000048376,0.010019510
1,xen-vm1,0.050096868,0.000096868,0.020220804
2,xen-vm2,0.050022392,0.000022392,0.009886809
3,xen-vm3,0.050008885,0.000008885,0.009881762
4,xen-vm4,0.049962012,0.000037988,0.009972637
1,xen-vm1,0.050014247,0.000014247,0.020273039
2,xen-vm2,0.050121906,0.000121906,0.009994468
3,xen-vm3,0.050237894,0.000237894,0.009997750
4,xen-vm4,0.050112189,0.000112189,0.009846932
1,xen-vm1,0.050049825,0.000049825,0.020210675
2,xen-vm2,0.050068793,0.000068793,0.010013436
3,xen-vm3,0.050047203,0.000047203,0.009976160
4,xen-vm4,0.050056370,0.000056370,0.009856099
1,xen-vm1,0.050070112,0.000070112,0.020224417
2,xen-vm2,0.049936629,0.000063371,0.009879953
3,xen-vm3,0.049910248,0.000089752,0.009949779
4,xen-vm4,0.050242248,0.000242248,0.010188099
1,xen-vm1,0.050067400,0.000067400,0.020049569
2,xen-vm2,0.050197821,0.000197821,0.010010374
3,xen-vm3,0.050087266,0.000087266,0.009839224
4,xen-vm4,0.050028521,0.000028521,0.010129354
1,xen-vm1,0.050057112,0.000057112,0.020078160
2,xen-vm2,0.050111326,0.000111326,0.010064588
3,xen-vm3,0.050085578,0.000085578,0.009813476
4,xen-vm4,0.050181232,0.000181232,0.010225008
1,xen-vm1,0.050116754,0.000116754,0.020013682
2,xen-vm2,0.050037567,0.000037567,0.009985401
3,xen-vm3,0.050227514,0.000227514,0.010003423
4,xen-vm4,0.049937085,0.000062915,0.009934579
1,xen-vm1,0.049982444,0.000017556,0.020059041
2,xen-vm2,0.050023474,0.000023474,0.010026431
3,xen-vm3,0.050010133,0.000010133,0.009990082
4,xen-vm4,0.049883792,0.000116208,0.009808238
1,xen-vm1,0.050096312,0.000096312,0.020271561
2,xen-vm2,0.050008971,0.000008971,0.009939090
3,xen-vm3,0.049875413,0.000124587,0.009856524
4,xen-vm4,0.050192293,0.000192293,0.010125118
1,xen-vm1,0.050032720,0.000032720,0.020111988
2,xen-vm2,0.050071113,0.000071113,0.009977483
3,xen-vm3,0.050204165,0.000204165,0.009989576
4,xen-vm4,0.050061522,0.000061522,0.009982475
1,xen-vm1,0.049950777,0.000049223,0.020001243
2,xen-vm2,0.049991325,0.000008675,0.010018031
3,xen-vm3,0.049813450,0.000186550,0.009811701
4,xen-vm4,0.049955362,0.000044638,0.010124387
1,xen-vm1,0.050109833,0.000109833,0.020155714
2,xen-vm2,0.049983066,0.000016934,0.009891264
2,xen-vm2,0.010006726,0.039993274,0.010006726
3,xen-vm3,0.050309854,0.000309854,0.000131763
3,xen-vm3,0.009602965,0.040397035,0.009602965
4,xen-vm4,0.049979828,0.000020172,0.000191396
1,xen-vm1,0.050035356,0.000035356,0.020211242
2,xen-vm2,0.049808493,0.000191507,0.019671127
3,xen-vm3,0.050274463,0.000274463,0.010200698
4,xen-vm4,0.050140153,0.000140153,0.000057086
1,xen-vm1,0.049987742,0.000012258,0.020058831
2,xen-vm2,0.050199275,0.000199275,0.019882660
3,xen-vm3,0.050037100,0.000037100,0.010038523
4,xen-vm4,0.050022151,0.000022151,0.000042137
4,xen-vm4,0.009815866,0.040184134,0.009815866
1,xen-vm1,0.050033627,0.000033627,0.010254441
1,xen-vm1,0.009918432,0.040081568,0.009918432
2,xen-vm2,0.049729411,0.000270589,0.009660012
3,xen-vm3,0.049613880,0.000386120,0.009922992
4,xen-vm4,0.049823358,0.000176642,0.010067481
1,xen-vm1,0.049926847,0.000073153,0.020276362
2,xen-vm2,0.050247280,0.000247280,0.009980445
3,xen-vm3,0.050323180,0.000323180,0.009998892
4,xen-vm4,0.050228577,0.000228577,0.009972878
1,xen-vm1,0.050053112,0.000053112,0.020100897
2,xen-vm2,0.049777502,0.000222498,0.009704835
3,xen-vm3,0.049935356,0.000064644,0.010156746
4,xen-vm4,0.049803040,0.000196960,0.009840562
1,xen-vm1,0.049929773,0.000070227,0.020227630
2,xen-vm2,0.049974115,0.000025885,0.009749177
3,xen-vm3,0.049793414,0.000206586,0.009976045
4,xen-vm4,0.049982811,0.000017189,0.010029959
1,xen-vm1,0.050049970,0.000049970,0.020294789
2,xen-vm2,0.050187432,0.000187432,0.009886639
3,xen-vm3,0.050006079,0.000006079,0.009794692
4,xen-vm4,0.050246227,0.000246227,0.010270107
1,xen-vm1,0.049745123,0.000254877,0.019793685
2,xen-vm2,0.049854424,0.000145576,0.009995940
3,xen-vm3,0.050018382,0.000018382,0.009958650
4,xen-vm4,0.049762638,0.000237362,0.010014363
1,xen-vm1,0.050256170,0.000256170,0.020287217
2,xen-vm2,0.050146458,0.000146458,0.009886228
3,xen-vm3,0.049962965,0.000037035,0.009775157
4,xen-vm4,0.050239527,0.000239527,0.010290925
1,xen-vm1,0.049915580,0.000084420,0.019963270
2,xen-vm2,0.050018046,0.000018046,0.009988694
3,xen-vm3,0.050054330,0.000054330,0.009811441
4,xen-vm4,0.049968733,0.000031267,0.010205328
1,xen-vm1,0.050041947,0.000041947,0.020036484
2,xen-vm2,0.049969921,0.000030079,0.009916668
3,xen-vm3,0.050133056,0.000133056,0.009974576
