entry,hostname,delta,error,lastcall
1,xen-vm1,0.029896634,0.000103366,0.029896634
1,xen-vm1,0.029995918,0.000004082,0.059892552
1,xen-vm1,0.030000690,0.000000690,0.089893242
1,xen-vm1,0.029994454,0.000005546,0.119887696
1,xen-vm1,0.030002073,0.000002073,0.149889769
1,xen-vm1,0.029991689,0.000008311,0.179881458
1,xen-vm1,0.029996686,0.000003314,0.209878144
1,xen-vm1,0.029997715,0.000002285,0.239875859
1,xen-vm1,0.030000434,0.000000434,0.269876293
1,xen-vm1,0.030018827,0.000018827,0.299895120
1,xen-vm1,0.030015152,0.000015152,0.329910272
1,xen-vm1,0.029979661,0.000020339,0.359889933
1,xen-vm1,0.030006528,0.000006528,0.389896461
1,xen-vm1,0.030001268,0.000001268,0.419897729
1,xen-vm1,0.030001231,0.000001231,0.449898960
1,xen-vm1,0.029998955,0.000001045,0.479897915
1,xen-vm1,0.030000900,0.000000900,0.509898815
1,xen-vm1,0.029993713,0.000006287,0.539892528
1,xen-vm1,0.030008623,0.000008623,0.569901151
1,xen-vm1,0.029994718,0.000005282,0.599895869
1,xen-vm1,0.029995872,0.000004128,0.629891741
1,xen-vm1,0.030006982,0.000006982,0.659898723
1,xen-vm1,0.030000842,0.000000842,0.689899565
1,xen-vm1,0.029998482,0.000001518,0.719898047
1,xen-vm1,0.029992453,0.000007547,0.749890500
1,xen-vm1,0.030009074,0.000009074,0.779899574
1,xen-vm1,0.029994639,0.000005361,0.809894213
1,xen-vm1,0.029995279,0.000004721,0.839889492
1,xen-vm1,0.030009513,0.000009513,0.869899005
1,xen-vm1,0.029994860,0.000005140,0.899893865
1,xen-vm1,0.029995350,0.000004650,0.929889215
1,xen-vm1,0.030008864,0.000008864,0.959898079
1,xen-vm1,0.029998817,0.000001183,0.989896896
1,xen-vm1,0.029998073,0.000001927,1.019894969
1,xen-vm1,0.029997513,0.000002487,1.049892482
1,xen-vm1,0.030001708,0.000001708,1.079894190
1,xen-vm1,0.029999857,0.000000143,1.109894047
1,xen-vm1,0.029997263,0.000002737,1.139891310
1,xen-vm1,0.030006324,0.000006324,1.169897634
1,xen-vm1,0.029993681,0.000006319,1.199891315
1,xen-vm1,0.029995234,0.000004766,1.229886549
1,xen-vm1,0.030006265,0.000006265,1.259892814
1,xen-vm1,0.030002123,0.000002123,1.289894937
1,xen-vm1,0.030001517,0.000001517,1.319896454
1,xen-vm1,0.029989839,0.000010161,1.349886293
1,xen-vm1,0.030008964,0.000008964,1.379895257
1,xen-vm1,0.029997180,0.000002820,1.409892437
1,xen-vm1,0.029983126,0.000016874,1.439875563
1,xen-vm1,0.030000833,0.000000833,1.469876396
1,xen-vm1,0.030011681,0.000011681,1.499888077
1,xen-vm1,0.029996661,0.000003339,1.529884738
1,xen-vm1,0.030005621,0.000005621,1.559890359
1,xen-vm1,0.030000924,0.000000924,1.589891283
1,xen-vm1,0.029999504,0.000000496,1.619890787
1,xen-vm1,0.029992782,0.000007218,1.649883569
1,xen-vm1,0.030008694,0.000008694,1.679892263
1,xen-vm1,0.029998327,0.000001673,1.709890590
1,xen-vm1,0.029993230,0.000006770,1.739883820
1,xen-vm1,0.030007766,0.000007766,1.769891586
1,xen-vm1,0.029992966,0.000007034,1.799884552
1,xen-vm1,0.029999633,0.000000367,1.829884185
1,xen-vm1,0.030004395,0.000004395,1.859888580
1,xen-vm1,0.030002032,0.000002032,1.889890612
1,xen-vm1,0.029996568,0.000003432,1.919887180
1,xen-vm1,0.029994750,0.000005250,1.949881930
1,xen-vm1,0.030008938,0.000008938,1.979890868
1,xen-vm1,0.029998859,0.000001141,2.009889727
1,xen-vm1,0.029991993,0.000008007,2.039881720
1,xen-vm1,0.030008340,0.000008340,2.069890060
1,xen-vm1,0.029993931,0.000006069,2.099883991
1,xen-vm1,0.029996995,0.000003005,2.129880986
1,xen-vm1,0.030006134,0.000006134,2.159887120
1,xen-vm1,0.030000807,0.000000807,2.189887927
1,xen-vm1,0.029997821,0.000002179,2.219885748
1,xen-vm1,0.029994905,0.000005095,2.249880653
1,xen-vm1,0.030008307,0.000008307,2.279888960
1,xen-vm1,0.029997766,0.000002234,2.309886726
1,xen-vm1,0.029992787,0.000007213,2.339879513
1,xen-vm1,0.030008632,0.000008632,2.369888145
1,xen-vm1,0.029994898,0.000005102,2.399883043
1,xen-vm1,0.030000571,0.000000571,2.429883614
1,xen-vm1,0.030001172,0.000001172,2.459884786
1,xen-vm1,0.030001099,0.000001099,2.489885885
1,xen-vm1,0.030001080,0.000001080,2.519886965
1,xen-vm1,0.029998095,0.000001905,2.549885060
1,xen-vm1,0.030000022,0.000000022,2.579885082
1,xen-vm1,0.030000716,0.000000716,2.609885798
1,xen-vm1,0.029995877,0.000004123,2.639881675
1,xen-vm1,0.030000700,0.000000700,2.669882375
1,xen-vm1,0.029997923,0.000002077,2.699880298
1,xen-vm1,0.030000129,0.000000129,2.729880427
1,xen-vm1,0.030003959,0.000003959,2.759884386
1,xen-vm1,0.029999850,0.000000150,2.789884236
1,xen-vm1,0.029999205,0.000000795,2.819883441
1,xen-vm1,0.029994527,0.000005473,2.849877968
1,xen-vm1,0.030008212,0.000008212,2.879886180
1,xen-vm1,0.029997181,0.000002819,2.909883361
1,xen-vm1,0.029998674,0.000001326,2.939882035
1,xen-vm1,0.030001554,0.000001554,2.969883589
1,xen-vm1,0.029994984,0.000005016,2.999878573
1,xen-vm1,0.030000040,0.000000040,3.029878613
1,xen-vm1,0.030004811,0.000004811,3.059883424
1,xen-vm1,0.029999086,0.000000914,3.089882510
1,xen-vm1,0.029997006,0.000002994,3.119879516
1,xen-vm1,0.029995289,0.000004711,3.149874805
