entry,hostname,delta,error,lastcall
2,xen-vm2,0.040022520,0.000022520,2.360874886
1,xen-vm1,0.040026081,0.000026081,2.380876834
2,xen-vm2,0.040016245,0.000016245,2.400891131
1,xen-vm1,0.040021319,0.000021319,2.420898153
2,xen-vm2,0.040024732,0.000024732,2.440915863
1,xen-vm1,0.040017831,0.000017831,2.460915984
2,xen-vm2,0.040020843,0.000020843,2.480936706
1,xen-vm1,0.040018811,0.000018811,2.500934795
2,xen-vm2,0.040030965,0.000030965,2.520967671
1,xen-vm1,0.040019034,0.000019034,2.540953829
2,xen-vm2,0.040010095,0.000010095,2.560977766
1,xen-vm1,0.040024161,0.000024161,2.580977990
2,xen-vm2,0.039997907,0.000002093,2.600975673
1,xen-vm1,0.040024414,0.000024414,2.621002404
2,xen-vm2,0.040039039,0.000039039,2.641014712
1,xen-vm1,0.040018952,0.000018952,2.661021356
2,xen-vm2,0.040025461,0.000025461,2.681040173
1,xen-vm1,0.040015909,0.000015909,2.701037265
2,xen-vm2,0.040020723,0.000020723,2.721060896
1,xen-vm1,0.040023565,0.000023565,2.741060830
2,xen-vm2,0.040019859,0.000019859,2.761080755
1,xen-vm1,0.040027116,0.000027116,2.781087946
2,xen-vm2,0.040028763,0.000028763,2.801109518
1,xen-vm1,0.040019084,0.000019084,2.821107030
2,xen-vm2,0.040018022,0.000018022,2.841127540
1,xen-vm1,0.040024964,0.000024964,2.861131994
2,xen-vm2,0.040020914,0.000020914,2.881148454
1,xen-vm1,0.040012241,0.000012241,2.901144235
2,xen-vm2,0.040000027,0.000000027,2.921148481
1,xen-vm1,0.040022530,0.000022530,2.941166765
2,xen-vm2,0.040041520,0.000041520,2.961190001
1,xen-vm1,0.040023728,0.000023728,2.981190493
2,xen-vm2,0.040013481,0.000013481,3.001203482
1,xen-vm1,0.040015804,0.000015804,3.021206297
2,xen-vm2,0.040023255,0.000023255,3.041226737
1,xen-vm1,0.040023653,0.000023653,3.061229950
2,xen-vm2,0.040022562,0.000022562,3.081249299
1,xen-vm1,0.040017755,0.000017755,3.101247705
2,xen-vm2,0.040016574,0.000016574,3.121265873
1,xen-vm1,0.040021452,0.000021452,3.141269157
2,xen-vm2,0.040026456,0.000026456,3.161292329
1,xen-vm1,0.040025492,0.000025492,3.181294649
2,xen-vm2,0.040017689,0.000017689,3.201310018
1,xen-vm1,0.040015554,0.000015554,3.221310203
2,xen-vm2,0.040018824,0.000018824,3.241328842
1,xen-vm1,0.040024411,0.000024411,3.261334614
2,xen-vm2,0.040025297,0.000025297,3.281354139
1,xen-vm1,0.040017607,0.000017607,3.301352221
2,xen-vm2,0.040016523,0.000016523,3.321370662
1,xen-vm1,0.040023354,0.000023354,3.341375575
2,xen-vm2,0.040027610,0.000027610,3.361398272
1,xen-vm1,0.040023703,0.000023703,3.381399278
2,xen-vm2,0.040016090,0.000016090,3.401414362
1,xen-vm1,0.040017328,0.000017328,3.421416606
2,xen-vm2,0.040023793,0.000023793,3.441438155
1,xen-vm1,0.040025968,0.000025968,3.461442574
2,xen-vm2,0.040024229,0.000024229,3.481462384
1,xen-vm1,0.040015407,0.000015407,3.501457981
2,xen-vm2,0.040016234,0.000016234,3.521478618
1,xen-vm1,0.040020512,0.000020512,3.541478493
2,xen-vm2,0.040022903,0.000022903,3.561501521
1,xen-vm1,0.040025482,0.000025482,3.581503975
2,xen-vm2,0.040018055,0.000018055,3.601519576
1,xen-vm1,0.040019864,0.000019864,3.621523839
2,xen-vm2,0.040020099,0.000020099,3.641539675
1,xen-vm1,0.040022121,0.000022121,3.661545960
2,xen-vm2,0.040025000,0.000025000,3.681564675
1,xen-vm1,0.040014776,0.000014776,3.701560736
2,xen-vm2,0.040016397,0.000016397,3.721581072
1,xen-vm1,0.040021700,0.000021700,3.741582436
2,xen-vm2,0.040026036,0.000026036,3.761607108
1,xen-vm1,0.040025505,0.000025505,3.781607941
2,xen-vm2,0.040016789,0.000016789,3.801623897
1,xen-vm1,0.040018014,0.000018014,3.821625955
2,xen-vm2,0.040029900,0.000029900,3.841653797
1,xen-vm1,0.040024583,0.000024583,3.861650538
2,xen-vm2,0.040014853,0.000014853,3.881668650
1,xen-vm1,0.040020619,0.000020619,3.901671157
2,xen-vm2,0.040010377,0.000010377,3.921679027
1,xen-vm1,0.040017108,0.000017108,3.941688265
2,xen-vm2,0.040031890,0.000031890,3.961710917
1,xen-vm1,0.040052619,0.000052619,3.981740884
2,xen-vm2,0.040023182,0.000023182,4.001734099
1,xen-vm1,0.039988355,0.000011645,4.021729239
2,xen-vm2,0.040013815,0.000013815,4.041747914
1,xen-vm1,0.040025603,0.000025603,4.061754842
2,xen-vm2,0.040026423,0.000026423,4.081774337
1,xen-vm1,0.040017374,0.000017374,4.101772216
2,xen-vm2,0.040016867,0.000016867,4.121791204
1,xen-vm1,0.040020756,0.000020756,4.141792972
2,xen-vm2,0.040025563,0.000025563,4.161816767
1,xen-vm1,0.040025485,0.000025485,4.181818457
2,xen-vm2,0.040015240,0.000015240,4.201832007
1,xen-vm1,0.040016892,0.000016892,4.221835349
2,xen-vm2,0.040020772,0.000020772,4.241852779
1,xen-vm1,0.040044966,0.000044966,4.261880315
2,xen-vm2,0.040034070,0.000034070,4.281886849
1,xen-vm1,0.040004877,0.000004877,4.301885192
2,xen-vm2,0.040008518,0.000008518,4.321895367
1,xen-vm1,0.040013807,0.000013807,4.341898999
2,xen-vm2,0.040024642,0.000024642,4.361920009
1,xen-vm1,0.040022843,0.000022843,4.381921842
2,xen-vm2,0.040016431,0.000016431,4.401936440
1,xen-vm1,0.040018022,0.000018022,4.421939864
2,xen-vm2,0.040025970,0.000025970,4.441962410
1,xen-vm1,0.040026068,0.000026068,4.461965932
2,xen-vm2,0.040020837,0.000020837,4.481983247
1,xen-vm1,0.040015033,0.000015033,4.501980965
2,xen-vm2,0.040018027,0.000018027,4.522001274
1,xen-vm1,0.040022969,0.000022969,4.542003934
2,xen-vm2,0.040023901,0.000023901,4.562025175
1,xen-vm1,0.040023755,0.000023755,4.582027689
2,xen-vm2,0.040016653,0.000016653,4.602041828
1,xen-vm1,0.040016526,0.000016526,4.622044215
2,xen-vm2,0.040021457,0.000021457,4.642063285
1,xen-vm1,0.040027574,0.000027574,4.662071789
2,xen-vm2,0.040026734,0.000026734,4.682090019
1,xen-vm1,0.040015602,0.000015602,4.702087391
2,xen-vm2,0.040016807,0.000016807,4.722106826
1,xen-vm1,0.040021295,0.000021295,4.742108686
2,xen-vm2,0.040024915,0.000024915,4.762131741
1,xen-vm1,0.040024672,0.000024672,4.782133358
2,xen-vm2,0.040017049,0.000017049,4.802148790
1,xen-vm1,0.040017027,0.000017027,4.822150385
2,xen-vm2,0.040027673,0.000027673,4.842176463
1,xen-vm1,0.040023175,0.000023175,4.862173560
2,xen-vm2,0.040017670,0.000017670,4.882194133
1,xen-vm1,0.040016986,0.000016986,4.902190546
2,xen-vm2,0.040015659,0.000015659,4.922209792
1,xen-vm1,0.040024215,0.000024215,4.942214761
2,xen-vm2,0.040026839,0.000026839,4.962236631
1,xen-vm1,0.040021942,0.000021942,4.982236703
2,xen-vm2,0.040015024,0.000015024,5.002251655
1,xen-vm1,0.040019025,0.000019025,5.022255728
2,xen-vm2,0.040022243,0.000022243,5.042273898
1,xen-vm1,0.040022900,0.000022900,5.062278628
2,xen-vm2,0.040024227,0.000024227,5.082298125
1,xen-vm1,0.040017431,0.000017431,5.102296059
2,xen-vm2,0.040038574,0.000038574,5.122336699
1,xen-vm1,0.040029235,0.000029235,5.142325294
